Manholes 57
ID  X Y Z INFLOW
1 2 1 2.5 0.005
2 4 1 2.6 0.006
3 5.7 1 2.7 0.005
4 7 1 2.8 0.003
5 2.5 2 2.6 0.007
6 5 2 2.6 0.01
7 1 3 2.3 0.009
8 2 3 2.5 0.01
9 3 3 2.9 0.003
10 4 3 2.85 0.01
11 5 3 2.8 0.017
12 6 3 2.8 0.004
13 1 4 2.2 0.007
14 2 4 2.4 0.008
15 3 4 2.5 0.002
16 4 4 2.6 0.003
17 5 4 2.6 0.006
18 1 5 2.2 0.008
19 2 5 2.4 0.006
20 3 5 2.5 0.011
21 4 5 2.45 0.013
22 5 5 2.4 0.012
23 6 5 2.35 0.011
24 7 5 2.3 0.007
25 1 6 2.1 0.006
26 2 6 2.4 0.002
27 3 6 2.4 0.009
28 4 6 2.25 0.004
29 5 6 2.2 0.006
30 1 7 2.1 0.004
31 2 7 2 0.004
32 3 7 2 0.008
33 4 7 1.95 0.006
34 5 7 2 0.01
35 6 7 1.95 0.01
36 7 7 1.9 0.011
37 5 8 2.05 0.003
38 1 9 2.2 0.003
39 2 9 2.1 0.002
40 3 9 2 0.006
41 4 9 2.1 0.006
42 5 9 2.1 0.01
43 6 9 2 0.003
44 7 9 2 0.005
45 2 10 2.2 0.005
46 3 10 2.1 0.003
47 4 10 2.2 0.007
48 5 10 2.1 0.008
49 6 10 2.1 0
50 7 10 2.1 0
51 3 11 2.2 0.003
52 4 11 2.2 0
53 5 11 2.2 0
54 6 11 2.25 0
55 7 11 2.7 0
56 7 12 2.2 0.013
57 7 13 2.2 -0.34
Sections 78
v1 v2 slope intercept
4 3 0.003 1
1 2 0.003 1
2 55 0.0038 1
1 7 0.003 1
19 18 0.003 1
5 8 0.003 1
6 11 0.0027 1
7 8 0.003 1
8 9 0.0024 1
9 15 0.002 1
10 11 0.003 1
10 55 0.003 1
3 2 0.003 1
11 17 0.0019 1
12 11 0.003 1
13 7 0.003 1
13 18 0.003 1
14 8 0.003 1
14 19 0.003 1
15 20 0.002 1
16 10 0.003 1
19 20 0.003 1
17 22 0.003 1
18 25 0.003 1
10 9 0.003 1
26 19 0.003 1
20 27 0.0015 1
21 20 0.003 1
21 28 0.003 1
22 23 0.0015 1
16 21 0.003 1
23 35 0.0014 1
22 21 0.003 1
33 32 0.003 1
25 30 0.0039 1
49 50 0.003 1
27 32 0.0014 1
28 33 0.0039 1
29 34 0.003 1
29 22 0.003 1
30 31 0.0034 1
31 32 0.0032 1
31 39 0.003 1
31 26 0.003 1
32 40 0.0015 1
37 34 0.0033 1
33 34 0.003 1
48 42 0.003 1
34 35 0.003 1
35 43 0.0014 1
36 35 0.0029 1
44 36 0.003 1
38 45 0.003 1
39 40 0.003 1
39 38 0.003 1
40 41 0.0014 1
41 42 0.0013 1
43 44 0.003 1
42 43 0.0012 1
43 49 0.0015 1
23 24 0.003 1
24 36 0.003 1
45 51 0.003 1
48 47 0.003 1
47 52 0.004 1
46 47 0.003 1
41 47 0.003 1
49 54 0.0015 1
46 39 0.003 1
50 44 0.003 1
51 52 0.003 1
52 53 0.0029 1
53 54 0.0029 1
54 56 0.0018 1
55 6 0.0035 1
55 5 0.003 1
56 50 0.003 1
56 57 0.0019 1

