Manholes 57
ID  X Y Z INFLOW
1 2 1 2.5 0.005
2 4 1 2.6 0.006
3 5.7 1 2.7 0.005
4 7 1 2.8 0.003
5 2.5 2 2.6 0.007
6 5 2 2.6 0.01
7 1 3 2.3 0.009
8 2 3 2.5 0.01
9 3 3 2.9 0.003
10 4 3 2.85 0.01
11 5 3 2.8 0.017
12 6 3 2.8 0.004
13 1 4 2.2 0.007
14 2 4 2.4 0.008
15 3 4 2.5 0.002
16 4 4 2.6 0.003
17 5 4 2.6 0.006
18 1 5 2.2 0.008
19 2 5 2.4 0.006
20 3 5 2.5 0.011
21 4 5 2.45 0.013
22 5 5 2.4 0.012
23 6 5 2.35 0.011
24 7 5 2.3 0.007
25 1 6 2.1 0.006
26 2 6 2.4 0.002
27 3 6 2.4 0.009
28 4 6 2.25 0.004
29 5 6 2.2 0.006
30 1 7 2.1 0.004
31 2 7 2 0.004
32 3 7 2 0.008
33 4 7 1.95 0.006
34 5 7 2 0.01
35 6 7 1.95 0.01
36 7 7 1.9 0.011
37 5 8 2.05 0.003
38 1 9 2.2 0.003
39 2 9 2.1 0.002
40 3 9 2 0.006
41 4 9 2.1 0.006
42 5 9 2.1 0.01
43 6 9 2 0.003
44 7 9 2 0.005
45 2 10 2.2 0.005
46 3 10 2.1 0.003
47 4 10 2.2 0.007
48 5 10 2.1 0.008
49 6 10 2.1 0
50 7 10 2.1 0
51 3 11 2.2 0.003
52 4 11 2.2 0
53 5 11 2.2 0
54 6 11 2.25 0
55 7 11 2.7 0
56 7 12 2.2 0.013
57 7 13 2.2 -0.34
Sections 78
v1 v2 slope intercept
4 3 115184776.625955 0
2 1 66508752.5837552 0
2 55 0.0038 1
1 7 45770204.4132293 0
18 19 27384709.643713 0
5 8 0.003 1
6 11 109418224.408836 0
7 8 19036645.0016348 0
8 9 15989381.9453704 0
9 15 10958972.8467772 0
10 11 106275597.375846 0
10 55 0.003 1
3 2 56513721.7663805 0
11 17 9152623.89037748 0
12 11 68386356.293424 0
13 7 156311725.70869 0
13 18 156311725.180429 0
14 8 136772766.371518 0
14 19 136772766.371518 0
15 20 11323916.4723416 0
16 10 0.003 1
19 20 20421010.2592298 0
17 22 7668414.63123387 0
25 18 48124155.247951 0
10 9 0.003 1
26 19 547090901.358664 0
20 27 5881164.95939329 0
21 20 21041955.640368 0
28 21 273545423.324784 0
22 23 4999671.23245342 0
16 21 118083996.819916 0
23 35 7442633.2671799 0
21 22 87301954.1357465 0
33 32 29157931.2603547 0
30 25 102493260.277399 0
49 50 0.003 1
27 32 5483938.02253739 0
28 33 88562997.6149368 0
29 34 177126048.367705 0
29 22 182363670.258974 0
31 30 390684898.90932 0
31 32 273545423.324784 0
39 31 1153609075.76617 0
26 31 531378038.82743 0
32 40 10008711.3655783 0
37 34 88562997.8132051 0
34 33 106275597.137924 0
48 42 136772821.080736 0
34 35 22140750.2340127 0
35 43 6664939.37957925 0
36 35 28794255.0868194 0
44 36 0.003 1
38 45 131126295.704265 0
39 40 531377985.689621 0
39 38 547090846.649568 0
40 41 5103826.4653 0
42 41 3768088.69454186 0
44 43 72945446.2199424 0
43 42 3907514.95308108 0
43 49 0.0015 1
23 24 0.003 1
24 36 0.003 1
45 51 59942661.9471045 0
48 47 136772821.080736 0
47 52 2859302.35983235 0
46 47 364727513.763943 0
41 47 2996601.27566396 0
49 54 842975.110399951 0
46 39 517791172.060423 0
44 50 109418169.329914 0
51 52 33985441.5939747 0
52 53 2882612.27582954 0
53 54 3005287.52598098 0
54 56 4307503.49090135 0
55 6 0.0035 1
55 5 0.003 1
56 50 317610395.270077 0
56 57 3119853.08304602 0

