Manholes 15
ID  X Y Z INFLOW
1 0 0 160.5 0.1
2 100 75 160.49 0.1
3 100 220 160.51 0.1
4 0 330 160.49 0.1
5 140 330 160.5 0.1
6 200 220 160.49 0.1
7 200 75 160.5 0.1
8 120 0 160.49 0.1
9 250 0 160.5 0.1
10 320 75 160.49 0.1
11 320 220 160.5 0.1
12 250 330 160.49 0.1
13 400 0 160.5 0.1
14 400 -130 160.49 0.1
15 405 -135 160 -1.4
Sections 21
v1 v2 slope intercept
1 8 1 1
2 1 1 1
2 7 1 1
3 2 1 1
3 6 1 1
4 3 1 1
4 5 1 1
5 6 1 1
5 12 1 1
6 7 1 1
6 11 1 1
7 10 1 1
8 7 1 1
8 9 1 1
9 13 1 1
10 9 1 1
10 13 1 1
11 10 1 1
12 11 1 1
13 14 1 1
14 15 1 1
